Ward No,Ward Name,District Name,LSG Qid,Name in English,Name in Malyalam,LSG localbody code,Position,Party,Reservation
17,Narikutty,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,IUML,Woman
18,Koppam,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Vice Chairman,BJP,General
19,Sultanpeta,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INDEPENDENT,General
20,Mankavu,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,Woman
21,Vadakkumuri,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,CPI(M),General
22,Selvapalayam,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,General
23,Kunnathurmedu North,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INC,General
24,Kunnathurmedu South,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INC,SC Woman
25,Chirakkad,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,CPI(M),General
26,Kenathparambu,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INC,General
27,Manapullykavu,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INC,General
28,Civil Station,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,CPI(M),Woman
29,Murikkave,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INC,General
30,West Yakkara,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,CPI(M),Woman
31,Puduppallitheruvu,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INDEPENDENT,General
32,Vennakara South,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,WPI,Woman
33,Vennakara Central,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,General
34,Othungode,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,CPI(M),General
35,Thirunellay East,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INC,Woman
36,Thirunellay West,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INC,Woman
37,Kallikkad,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,IUML,Woman
38,Kaikuttyparambu,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INC,General
39,Nurani,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INDEPENDENT,General
40,Vithunny,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INDEPENDENT,Woman
41,Municipal Office,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,INC,Woman
42,Pattikkara,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,General
43,Vadakkanthara East,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,General
44,Sreeramapalayam,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,General
45,Melamuri,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,Woman
46,Valiyangadi,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,General
47,Pallipuram,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,SC
48,Meparambu,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,Woman
49,Kannaki Nagar West,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,General
50,Vadakkanthara,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,Woman
51,Jainmedu,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,BJP,General
52,Olavakkode South,Palakkad ,Q20581178,Palakkad Municipality,പാലക്കാട് നഗരസഭ,M090400,Councilor,IUML,Woman
1,Cheerattamanna,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),General
2,Manathumangalam,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INC,Woman
3,Kakooth,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,IUML,Woman
4,Valiyangadi,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INDEPENDENT,General
5,Kulirmala,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,IUML,General
6,Chmebankunnu,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INDEPENDENT,General
7,Kumaramkulam,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,IUML,Woman
8,Laksham Veedu,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,IUML,General
9,Idukkumukham,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INDEPENDENT,SC
10,Manazhi Stand,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INDEPENDENT,SC
11,Panjama,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Chairman,CPI(M),General
12,Kuttippara,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),General
13,Manappadi,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),Woman
14,Pathaikkara Up School,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),Woman
15,Kovilakampadi,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,IUML,Woman
16,Olinkara,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),General
17,Kizhakkekara,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),Woman
18,Thekkekara,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),Woman
19,Anathanam,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),SC Woman
20,Padinjarekkara,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),General
21,Kunnappalli South,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INDEPENDENT,Woman
22,Kalathilakkara,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,IUML,General
23,Marukaraparambu,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),General
24,Valayam Moochi,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),Woman
25,Asarikkara,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),General
26,Thottakkara,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INDEPENDENT,General
27,J N Road,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INDEPENDENT,Woman
28,J N Road Central,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,IUML,Woman
29,Thekkinkode,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INDEPENDENT,General
30,Kavungal Paramba,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INDEPENDENT,SC Woman
31,Puthur,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Deputy Chairperson,CPI(M),General
32,Sangeetha,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),Woman
33,Alikkal,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,INC,Woman
34,Lemon Valley,Malappuram ,Q13113443,Perinthalmanna Municipality,പെരിന്തല്‍മണ്ണ നഗരസഭ,M100100,Councilor,CPI(M),Woman
1,Azheekkal,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,IUML,General
2,Pallikadavu,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,IUML,Woman
3,Chana,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,IUML,Woman
4,Velleeri,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INC,SC
5,Kuttikkad,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),General
6,Ezhuvathiruthi,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),General
7,Welfare,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
8,Thevarkshethram,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
9,Kottathara,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
10,Chmravattom,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INC,Woman
11,Eswaramangalam,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),General
12,Naithallur,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INC,Woman
13,Kotta,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,BJP,Woman
14,Erikkamanna,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
15,Puzhambram,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
16,Biyyam,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
17,Andithode,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Chairman,CPI(M),General
18,Boat Jetty,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),General
19,Pulikkakadavu,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,IUML,General
20,Junction,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),SC Woman
21,Theyyangad,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,BJP,General
22,Karukathiruthy,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
23,Attupuram,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),General
24,Fisheries School,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
25,Kadavanad South,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INDEPENDENT,General
26,Kadavanad North,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),General
27,Ayyappankavu,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,BJP,SC Woman
28,Pallapram West,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
29,Uroob Nagar,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INC,General
30,Pullonath Athani,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Deputy Chairperson,CPI,Woman
31,Chandapadi,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INC,General
32,Trikkav East,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INC,General
33,Thrikkav,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INDEPENDENT,General
34,Vandipetta,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,IUML,Woman
35,M .I. A,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,IUML,General
36,Puthamkulam,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,IUML,General
37,Thekkepuram,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,IUML,Woman
38,Parangivalappu,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
39,Municipal Office,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,JD(U),General
40,Cherupalli,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INC,Woman
41,Pudu Ponnani South,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
42,Pudu Ponnani North,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,NSC,General
43,Mylanchikkad,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,NSC,Woman
44,Nayadi Colony,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,IUML,Woman
45,Murinjazhi,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),General
46,M.E.S College,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI,General
47,Mukkadi,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
48,Aliyar Palli,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),General
49,Govt. Hospital,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI,General
50,Marakkadavu,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,CPI(M),Woman
51,Meentheruvu,Malappuram ,Q13113491,Ponnani Municipality,പൊന്നാനി നഗരസഭ,M100200,Councilor,INDEPENDENT,General
1,Kidangazhi,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
2,Erambra,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
3,Pullur,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
4,Chettiyangadi,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
5,Cherani,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,INDEPENDENT,Woman
6,Nelliparamba,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),Woman
7,Melakkam,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,BJP,General
8,Cullakkad,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
9,Thadathikuzhi,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,INC,Woman
10,Kozhikkattukunnu,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
11,Punnakuzhi,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
12,Mangalasheri,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,SC
13,Palakkulam,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,INC,SC
14,Thanippara,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),General
15,College Kunnu,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
16,Kizhakkethala,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
17,Vadakkangara,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),Woman
18,Payyanad,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
19,Elambra,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
20,Athanikkal,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),Woman
21,Thamarasheri,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),SC Woman
22,Nellikuth L.P School,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
23,Nellikuth High School,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
24,Chalukulam,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
25,Kizhakkekunnu,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),Woman
26,Pilakkal,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
27,Amayamkode,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
28,Pullancheri,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
29,Vettekkode,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),General
30,Vellarangal,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,INC,General
31,Vayparapadi,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),General
32,Kovilakam Kundu,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),General
33,Town Ward,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI,General
34,Shanthi Gramam,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,INC,General
35,Arukizhaya,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),Woman
36,Ulladamkunnu,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
37,Mullambara,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
38,Vakkethodi,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
39,Thadathiparamba,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,INC,Woman
40,Vattappara,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Chairperson,IUML,Woman
41,Puliyanthodi,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
42,Thurakkal,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
43,Pottammal,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,INC,SC Woman
44,Pattarkulam,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
45,Mariyad,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,INL,General
46,Veemboor,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
47,Narukara,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,General
48,Ambalappadi,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Vice Chairman,INC,General
49,Karuvambram,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,CPI(M),Woman
50,Ramamkulam,Malappuram ,Q16134188,Manjeri Municipality,മഞ്ചേരി നഗരസഭ,M100300,Councilor,IUML,Woman
1,Porur,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,General
2,Thazhepalam,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,General
3,Naduvilangadi,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,SC Woman
4,Pookayil,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,CPI(M),General
5,Peruvazhiyambalam,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,Woman
6,Michabhoomi,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,Woman
7,Thumarakkavu,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,General
8,Chembra North,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,Woman
9,Chembra,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,Woman
10,Kanchirakund,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,General
11,Myladikunnu,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,General
12,Alinchuvadu,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INC,General
13,Kott East,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,Woman
14,Parannekkad,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,General
15,Bus Stand,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,Woman
16,Variyathara,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,General
17,Kallingal,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,Woman
18,Kott West,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,SC
19,Panambalam,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,General
20,Ezhur East,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,General
21,Kolarkundu,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,Woman
22,Thalappallipadam,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,Woman
23,Muthur,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,Woman
24,Ezhur West,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,General
25,Ezhur South,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,IUML,Woman
26,Koothparamb,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,Woman
27,Thekkumuri East,Malappuram ,Q13112532,Tirur Municipality,തിരൂര്‍ നഗരസഭ,M100400,Councilor,INDEPENDENT,Woman
